lexeme,stratum,det_flag,diagnostic,op,sentence,flag,needs_realization
worth,boundary,,very_mod,both,Something was very worth.,,
worth,boundary,,too_mod,both,Something was too worth.,,
worth,boundary,,comparative_more,both,Something was more worth than something else.,,
worth,boundary,,inflectional_comparison,both,Something was worther than something else.,realized:comparative,
worth,boundary,,right_mod,judgment,Something was right worth.,,
worth,boundary,,enough_postposed,judgment,Something was worth enough.,,
worth,boundary,,enough_preposed,judgment,Something was enough worth.,,
worth,boundary,,np_complement,both,Something was worth something.,,
worth,boundary,,gerund_gap_complement,judgment,Something was worth doing.,,
worth,boundary,,attributive,both,The worth something happened.,,
worth,boundary,,predicative_be,both,Something was worth.,,
worth,boundary,,postpositive,judgment,The something worth happened.,note_postpositive,
worth,boundary,,predeterminer_position,both,Worth the something happened.,,
worth,boundary,,determiner_function,both,Worth something happened.,,
worth,boundary,,fused_head,both,Someone saw worth.,,
worth,boundary,,partitive_of,both,Worth of the somethings happened.,,
worth,boundary,,un_prefix,both,Something was unworth.,realized:un,
worth,boundary,,ly_adverb_base,both,Something happened worthly.,realized:ly,
worth,boundary,,ness_nominalization,both,The worthness of something.,realized:ness,
worth,boundary,,seem_complement,both,Something seemed worth.,,
worth,boundary,,become_complement,both,Something became worth.,,
worth,boundary,,coordination_with_adj,judgment,Something was old and worth.,,
worth,boundary,,fronting_pp,judgment,"Worth something, something happened.",,
worth,boundary,,stranding,judgment,The something that something was worth __,,
near,boundary,,very_mod,both,Something was very near.,,
near,boundary,,too_mod,both,Something was too near.,,
near,boundary,,comparative_more,both,Something was more near than something else.,,
near,boundary,,inflectional_comparison,both,Something was nearer than something else.,realized:comparative,
near,boundary,,right_mod,judgment,Something was right near.,,
near,boundary,,enough_postposed,judgment,Something was near enough.,,
near,boundary,,enough_preposed,judgment,Something was enough near.,,
near,boundary,,np_complement,both,Something was near something.,,
near,boundary,,gerund_gap_complement,judgment,Something was near doing.,,
near,boundary,,attributive,both,The near something happened.,,
near,boundary,,predicative_be,both,Something was near.,,
near,boundary,,postpositive,judgment,The something near happened.,note_postpositive,
near,boundary,,predeterminer_position,both,Near the something happened.,,
near,boundary,,determiner_function,both,Near something happened.,,
near,boundary,,fused_head,both,Someone saw near.,,
near,boundary,,partitive_of,both,Near of the somethings happened.,,
near,boundary,,un_prefix,both,Something was unnear.,realized:un,
near,boundary,,ly_adverb_base,both,Something happened nearly.,realized:ly,
near,boundary,,ness_nominalization,both,The nearness of something.,realized:ness,
near,boundary,,seem_complement,both,Something seemed near.,,
near,boundary,,become_complement,both,Something became near.,,
near,boundary,,coordination_with_adj,judgment,Something was old and near.,,
near,boundary,,fronting_pp,judgment,"Near something, something happened.",,
near,boundary,,stranding,judgment,The something that something was near __,,
like,boundary,,very_mod,both,Something was very like.,,
like,boundary,,too_mod,both,Something was too like.,,
like,boundary,,comparative_more,both,Something was more like than something else.,,
like,boundary,,inflectional_comparison,both,Something was liker than something else.,realized:comparative,
like,boundary,,right_mod,judgment,Something was right like.,,
like,boundary,,enough_postposed,judgment,Something was like enough.,,
like,boundary,,enough_preposed,judgment,Something was enough like.,,
like,boundary,,np_complement,both,Something was like something.,,
like,boundary,,gerund_gap_complement,judgment,Something was like doing.,,
like,boundary,,attributive,both,The like something happened.,,
like,boundary,,predicative_be,both,Something was like.,,
like,boundary,,postpositive,judgment,The something like happened.,note_postpositive,
like,boundary,,predeterminer_position,both,Like the something happened.,,
like,boundary,,determiner_function,both,Like something happened.,,
